Name,Category,Value,Title
小米（MI）小米手環2 標準版 心率監測 來電提醒（黑色）,外設、辦公、酷新奇,21263.90,總銷售金額排行
小明 S1激光微型投影儀 安卓智能WiFi無屏電視 高清家用商務辦公投影（金色）,外設、辦公、酷新奇,21137.00,總銷售金額排行
糖貓（teemo） 兒童電話手錶 好友版兒童智能手錶GPS定位 防丟防水 海量故事 藍色 好友版E1,外設、辦公、酷新奇,16700.40,總銷售金額排行
糖貓（teemo） 兒童電話手錶 好友版兒童智能手錶GPS定位搖一搖交友 防丟防水 海量故事 西瓜紅,外設、辦公、酷新奇,13848.29,總銷售金額排行
健得龍 KTR-103  智能頸椎按摩儀/按摩器/理療儀,外設、辦公、酷新奇,13707.02,總銷售金額排行
【雙11全球狂歡節】Sharp/夏普 LCD-70TX85A 70英寸4K高清網路智慧液晶平板電視機65,家用電器,41546232.00,總銷售金額排行
【雙11全球狂歡節】Sharp/夏普 LCD-70TX85A/60TX85A 70英寸高清4K液晶平板智慧電視,家用電器,27292382.00,總銷售金額排行
【雙11全球狂歡節】Sharp/夏普 LCD-45T45A  45英寸led液晶網路智慧平板電視機40 42，延保 二年,家用電器,9428555.00,總銷售金額排行
Sharp/夏普 LCD-50TX55A 50英寸4K高清液晶智慧型網路平板電視機48,家用電器,8010815.00,總銷售金額排行
【回娘家機型】LCD-60SU465A+ LCD-45SF460A,家用電器,8000636.90,總銷售金額排行
蘋果 iPhone 7 Plus(玫瑰金) 128GB公開版4G手機,手機、智能硬件,111748.80,總銷售金額排行
蘋果 iPhone 7(玫瑰金) 32GB公開版4G手機,手機、智能硬件,100052.00,總銷售金額排行
小米（MI）紅米 Note3 高配版 32GB 移動聯通雙4G手機 雙卡雙待（金色）,手機、智能硬件,97635.00,總銷售金額排行
蘋果 iPhone 7 Plus(亮黑色) 128GB公開版4G手機,手機、智能硬件,86269.00,總銷售金額排行
蘋果 iPhone 7 Plus(金色) 128GB公開版4G手機,手機、智能硬件,81440.00,總銷售金額排行
蘋果 iPad Air 2 (金色) 128GB WiFi版 9.7英寸平板電腦MH1J2CH/A,電腦、平板,57132.68,總銷售金額排行
蘋果 (Apple) iPad Pro 32GB WLAN  9.7英寸   MLMQ2CH/A 平,電腦、平板,27945.90,總銷售金額排行
蘋果（Apple）MacBook Intel MK4M2CH/A Core M 8GB 1600MH,電腦、平板,21137.00,總銷售金額排行
華碩（Asus）V505LX5200 15.6英寸筆記本 i5-5200U  4G 500G 950,電腦、平板,21137.00,總銷售金額排行
蘋果（Apple）iPad mini 4 (金色) 32GB WiFi版 7.9英寸平板電腦 MNY,電腦、平板,20580.00,總銷售金額排行
戴爾（Dell）Ins11W-5208T 靈越11英寸觸控翻轉筆記本電腦 奔騰四核 4G 500G,電腦、平板,12796.00,總銷售金額排行
